iter,objective,grad_norm
3.000000000000000000e+01,9.505061129064478109e+01,1.199748951491863636e+03
3.100000000000000000e+01,9.326125539243369644e+01,1.169710450416638196e+03
3.200000000000000000e+01,9.155970593430214421e+01,1.141280555979143401e+03
3.300000000000000000e+01,8.993927286990927428e+01,1.114333476770053949e+03
3.400000000000000000e+01,8.839412366888861072e+01,1.088513993578645341e+03
3.500000000000000000e+01,8.691936875216725866e+01,1.063835581781569772e+03
3.600000000000000000e+01,8.551036899609894704e+01,1.040277440782883559e+03
3.700000000000000000e+01,8.416259868598035609e+01,1.017933404700660503e+03
3.800000000000000000e+01,8.287176848824694275e+01,9.966003808499913248e+02
3.900000000000000000e+01,8.163422168098580300e+01,9.761060125800358946e+02
4.000000000000000000e+01,8.044682541016305777e+01,9.564082321432897515e+02
4.100000000000000000e+01,7.930666279412616859e+01,9.374589984965133453e+02
4.200000000000000000e+01,7.821094245916025045e+01,9.193786953662601036e+02
4.300000000000000000e+01,7.715687378036366795e+01,9.020038635012840587e+02
4.400000000000000000e+01,7.614205052846143928e+01,8.853223519994623985e+02
4.500000000000000000e+01,7.516423816456067186e+01,8.692668790762688786e+02
4.600000000000000000e+01,7.422137409486299475e+01,8.538494404628227130e+02
4.700000000000000000e+01,7.331147490448415738e+01,8.390516303236724980e+02
4.800000000000000000e+01,7.243271975039199617e+01,8.247302770629823954e+02
4.900000000000000000e+01,7.158362529277088981e+01,8.107963591910281593e+02
5.000000000000000000e+01,7.076286008181132559e+01,7.973654999623850017e+02
5.100000000000000000e+01,6.996890336183371062e+01,7.844498801992716608e+02
5.200000000000000000e+01,6.920032535855629874e+01,7.720361787904664652e+02
5.300000000000000000e+01,6.845578485355675014e+01,7.599933377354273034e+02
5.400000000000000000e+01,6.773418386408614822e+01,7.484032106668730648e+02
5.500000000000000000e+01,6.703428061652097369e+01,7.372706521734327225e+02
5.600000000000000000e+01,6.635491837163813500e+01,7.265680774181349761e+02
5.700000000000000000e+01,6.569504924918690847e+01,7.162144474797394196e+02
5.800000000000000000e+01,6.505376498504388394e+01,7.061832775369191495e+02
5.900000000000000000e+01,6.443025319314259036e+01,6.964375779057979798e+02
6.000000000000000000e+01,6.382378931720182180e+01,6.869359231922112485e+02
6.100000000000000000e+01,6.323368149302680763e+01,6.777421436291377859e+02
6.200000000000000000e+01,6.265920923672899079e+01,6.687953775695882541e+02
6.300000000000000000e+01,6.209976634004876672e+01,6.600444405523790010e+02
6.400000000000000000e+01,6.155481427124263405e+01,6.515585538484068593e+02
6.500000000000000000e+01,6.102373680073009155e+01,6.432904307451033219e+02
6.600000000000000000e+01,6.050600392168553299e+01,6.352434867536512684e+02
6.700000000000000000e+01,6.000110850554785458e+01,6.273746080112017580e+02
6.800000000000000000e+01,5.950861227994190727e+01,6.196879865227020900e+02
6.900000000000000000e+01,5.902805715759250660e+01,6.122385124692789304e+02
7.000000000000000000e+01,5.855894832176170439e+01,6.049733010128476280e+02
7.100000000000000000e+01,5.810085592082623407e+01,5.979308762153405041e+02
7.200000000000000000e+01,5.765333053612059899e+01,5.910702849777164829e+02
7.300000000000000000e+01,5.721597334718050121e+01,5.843907618506051449e+02
7.400000000000000000e+01,5.678841574912041068e+01,5.778776415159283033e+02
7.500000000000000000e+01,5.637030450537543658e+01,5.715182866136980238e+02
7.600000000000000000e+01,5.596131381689341566e+01,5.653015533829769765e+02
7.700000000000000000e+01,5.556115533837478893e+01,5.592102783078850052e+02
7.800000000000000000e+01,5.516955163972765774e+01,5.532494678911932624e+02
7.900000000000000000e+01,5.478623196153368724e+01,5.474001542696911429e+02
8.000000000000000000e+01,5.441096527686350015e+01,5.416425455367749464e+02
8.100000000000000000e+01,5.404352994117498810e+01,5.360182268870360076e+02
8.200000000000000000e+01,5.368365565840082354e+01,5.305356719716892258e+02
8.300000000000000000e+01,5.333107457967138743e+01,5.251981666847595989e+02
8.400000000000000000e+01,5.298553656015696589e+01,5.199674351497924363e+02
8.500000000000000000e+01,5.264682384893350786e+01,5.148586760705496772e+02
8.600000000000000000e+01,5.231471558533601041e+01,5.098523386595634861e+02
8.700000000000000000e+01,5.198901524860283274e+01,5.049656700532938203e+02
8.800000000000000000e+01,5.166949821324728731e+01,5.002184924908198127e+02
8.900000000000000000e+01,5.135593433427320775e+01,4.955918869950855878e+02
9.000000000000000000e+01,5.104813398806769698e+01,4.910424281453724120e+02
9.100000000000000000e+01,5.074594386290651471e+01,4.865780028425372166e+02
9.200000000000000000e+01,5.044920960068928650e+01,4.822016968702711779e+02
9.300000000000000000e+01,5.015776952848564463e+01,4.779282049572065603e+02
9.400000000000000000e+01,4.987145693539483915e+01,4.737558636454382395e+02
9.500000000000000000e+01,4.959010575252410291e+01,4.696575551855245294e+02
9.600000000000000000e+01,4.931359600989114966e+01,4.656156200484425653e+02
